,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3059375,R222,00-00-00,2020-02-29 00:00:00,11267339.0,648368.0,0.0,0.0,,,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059376,R222,00-00-00,2020-02-29 00:00:00,11267339.0,648368.0,0.0,0.0,0.0,0.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059377,R222,00-00-00,2020-02-29 00:00:00,11267339.0,648368.0,7018.5,9155.5,7018.0,9156.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059378,R222,00-00-00,2020-02-29 00:00:00,11267339.0,648368.0,14037.0,18311.0,7018.0,9156.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059379,R222,00-00-00,2020-02-29 00:00:00,11267339.0,648368.0,21055.5,27466.5,7018.0,9156.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059380,R222,00-00-00,2020-02-29 04:00:00,11267385.0,648383.0,28074.0,36622.0,7018.0,9156.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059381,R222,00-00-00,2020-02-29 04:00:00,11267385.0,648383.0,28074.0,36622.0,0.0,0.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059382,R222,00-00-00,2020-02-29 04:00:00,11267385.0,648383.0,57726.0,58945.5,29652.0,22324.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059383,R222,00-00-00,2020-02-29 04:00:00,11267385.0,648383.0,87378.0,81269.0,29652.0,22324.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059384,R222,00-00-00,2020-02-29 04:00:00,11267385.0,648383.0,117030.0,103592.5,29652.0,22324.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059385,R222,00-00-00,2020-02-29 08:00:00,11267839.0,648395.0,146682.0,125916.0,29652.0,22324.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059386,R222,00-00-00,2020-02-29 08:00:00,11267839.0,648395.0,146682.0,125916.0,0.0,0.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059387,R222,00-00-00,2020-02-29 08:00:00,11267839.0,648395.0,259468.25,237357.5,112786.0,111442.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059388,R222,00-00-00,2020-02-29 08:00:00,11267839.0,648395.0,372254.5,348799.0,112786.0,111442.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059389,R222,00-00-00,2020-02-29 08:00:00,11267839.0,648395.0,485040.75,460240.5,112786.0,111442.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059390,R222,00-00-00,2020-02-29 12:00:00,11268500.0,648415.0,597827.0,571682.0,112786.0,111442.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059391,R222,00-00-00,2020-02-29 12:00:00,11268500.0,648415.0,597827.0,571682.0,0.0,0.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059392,R222,00-00-00,2020-02-29 12:00:00,11268500.0,648415.0,940026.25,766307.75,342199.0,194626.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059393,R222,00-00-00,2020-02-29 12:00:00,11268500.0,648415.0,1282225.5,960933.5,342199.0,194626.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
3059394,R222,00-00-00,2020-02-29 12:00:00,11268500.0,648415.0,1624424.75,1155559.25,342199.0,194626.0,Parkchester,ES111,Street to Center Island Platform,BX,6,ES,N,Y,6,R222
