,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3530138,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,0.0,0.0,,,Pelham Pkwy,EL137,Mezzanine to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R361
3530139,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,0.0,0.0,,,Pelham Pkwy,EL138,Mezzanine to Platform for Wakefield 241 St bound service,BX,2/5,EL,Y,Y,2-5,R361
3530140,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,0.0,0.0,,,Pelham Pkwy,ES123,Mezzanine to Southbound Platform,BX,2/5,ES,N,Y,2-5,R361
3530141,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,0.0,0.0,,,Pelham Pkwy,ES122,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R361
3530142,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,0.0,0.0,,,Pelham Pkwy,EL136,White Plains Rd & Pelham Pkwy South (SW corner) to Mezzanine to reach service in both directions,BX,2/5,EL,Y,Y,2-5,R361
3530143,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,0.0,0.0,0.0,0.0,Pelham Pkwy,EL137,Mezzanine to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R361
3530144,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,0.0,0.0,0.0,0.0,Pelham Pkwy,EL138,Mezzanine to Platform for Wakefield 241 St bound service,BX,2/5,EL,Y,Y,2-5,R361
3530145,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,0.0,0.0,0.0,0.0,Pelham Pkwy,ES123,Mezzanine to Southbound Platform,BX,2/5,ES,N,Y,2-5,R361
3530146,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,0.0,0.0,0.0,0.0,Pelham Pkwy,ES122,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R361
3530147,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,0.0,0.0,0.0,0.0,Pelham Pkwy,EL136,White Plains Rd & Pelham Pkwy South (SW corner) to Mezzanine to reach service in both directions,BX,2/5,EL,Y,Y,2-5,R361
3530148,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,6389.0,8517.0,6389.0,8517.0,Pelham Pkwy,EL137,Mezzanine to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R361
3530149,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,6389.0,8517.0,6389.0,8517.0,Pelham Pkwy,EL138,Mezzanine to Platform for Wakefield 241 St bound service,BX,2/5,EL,Y,Y,2-5,R361
3530150,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,6389.0,8517.0,6389.0,8517.0,Pelham Pkwy,ES123,Mezzanine to Southbound Platform,BX,2/5,ES,N,Y,2-5,R361
3530151,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,6389.0,8517.0,6389.0,8517.0,Pelham Pkwy,ES122,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R361
3530152,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,6389.0,8517.0,6389.0,8517.0,Pelham Pkwy,EL136,White Plains Rd & Pelham Pkwy South (SW corner) to Mezzanine to reach service in both directions,BX,2/5,EL,Y,Y,2-5,R361
3530153,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,12778.0,17034.0,6389.0,8517.0,Pelham Pkwy,EL137,Mezzanine to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R361
3530154,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,12778.0,17034.0,6389.0,8517.0,Pelham Pkwy,EL138,Mezzanine to Platform for Wakefield 241 St bound service,BX,2/5,EL,Y,Y,2-5,R361
3530155,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,12778.0,17034.0,6389.0,8517.0,Pelham Pkwy,ES123,Mezzanine to Southbound Platform,BX,2/5,ES,N,Y,2-5,R361
3530156,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,12778.0,17034.0,6389.0,8517.0,Pelham Pkwy,ES122,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R361
3530157,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,12778.0,17034.0,6389.0,8517.0,Pelham Pkwy,EL136,White Plains Rd & Pelham Pkwy South (SW corner) to Mezzanine to reach service in both directions,BX,2/5,EL,Y,Y,2-5,R361
3530158,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,19167.0,25551.0,6389.0,8517.0,Pelham Pkwy,EL137,Mezzanine to Platform for Manhattan bound service,BX,2/5,EL,Y,Y,2-5,R361
3530159,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,19167.0,25551.0,6389.0,8517.0,Pelham Pkwy,EL138,Mezzanine to Platform for Wakefield 241 St bound service,BX,2/5,EL,Y,Y,2-5,R361
3530160,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,19167.0,25551.0,6389.0,8517.0,Pelham Pkwy,ES123,Mezzanine to Southbound Platform,BX,2/5,ES,N,Y,2-5,R361
3530161,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,19167.0,25551.0,6389.0,8517.0,Pelham Pkwy,ES122,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R361
3530162,R361,00-00-00,2020-02-29 00:00:00,5975658.0,2396112.0,19167.0,25551.0,6389.0,8517.0,Pelham Pkwy,EL136,White Plains Rd & Pelham Pkwy South (SW corner) to Mezzanine to reach service in both directions,BX,2/5,EL,Y,Y,2-5,R361
