,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3183724,R277,00-00-00,2020-02-29 03:00:00,3788544.0,5628825.0,0.0,0.0,,,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183725,R277,00-00-00,2020-02-29 03:00:00,3788544.0,5628825.0,0.0,0.0,0.0,0.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183726,R277,00-00-00,2020-02-29 03:00:00,3788544.0,5628825.0,26415.0,24424.0,26415.0,24424.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183727,R277,00-00-00,2020-02-29 03:00:00,3788544.0,5628825.0,52830.0,48848.0,26415.0,24424.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183728,R277,00-00-00,2020-02-29 03:00:00,3788544.0,5628825.0,79245.0,73272.0,26415.0,24424.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183729,R277,00-00-00,2020-02-29 07:00:00,3788566.0,5628838.0,105660.0,97696.0,26415.0,24424.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183730,R277,00-00-00,2020-02-29 07:00:00,3788566.0,5628838.0,105660.0,97696.0,0.0,0.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183731,R277,00-00-00,2020-02-29 07:00:00,3788566.0,5628838.0,162127.5,160667.0,56468.0,62971.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183732,R277,00-00-00,2020-02-29 07:00:00,3788566.0,5628838.0,218595.0,223638.0,56468.0,62971.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183733,R277,00-00-00,2020-02-29 07:00:00,3788566.0,5628838.0,275062.5,286609.0,56468.0,62971.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183734,R277,00-00-00,2020-02-29 11:00:00,3788656.0,5628895.0,331530.0,349580.0,56468.0,62971.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183735,R277,00-00-00,2020-02-29 11:00:00,3788656.0,5628895.0,331530.0,349580.0,0.0,0.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183736,R277,00-00-00,2020-02-29 11:00:00,3788656.0,5628895.0,572164.5,464581.5,240634.0,115002.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183737,R277,00-00-00,2020-02-29 11:00:00,3788656.0,5628895.0,812799.0,579583.0,240634.0,115002.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183738,R277,00-00-00,2020-02-29 11:00:00,3788656.0,5628895.0,1053433.5,694584.5,240634.0,115002.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183739,R277,00-00-00,2020-02-29 15:00:00,3788822.0,5629041.0,1294068.0,809586.0,240634.0,115002.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183740,R277,00-00-00,2020-02-29 15:00:00,3788822.0,5629041.0,1294068.0,809586.0,0.0,0.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183741,R277,00-00-00,2020-02-29 15:00:00,3788822.0,5629041.0,1502607.0,980728.25,208539.0,171142.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183742,R277,00-00-00,2020-02-29 15:00:00,3788822.0,5629041.0,1711146.0,1151870.5,208539.0,171142.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183743,R277,00-00-00,2020-02-29 15:00:00,3788822.0,5629041.0,1919685.0,1323012.75,208539.0,171142.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183744,R277,00-00-00,2020-02-29 19:00:00,3788943.0,5629254.0,2128224.0,1494155.0,208539.0,171142.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183745,R277,00-00-00,2020-02-29 19:00:00,3788943.0,5629254.0,2128224.0,1494155.0,0.0,0.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183746,R277,00-00-00,2020-02-29 19:00:00,3788943.0,5629254.0,2336143.5,1674567.5,207920.0,180412.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183747,R277,00-00-00,2020-02-29 19:00:00,3788943.0,5629254.0,2544063.0,1854980.0,207920.0,180412.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183748,R277,00-00-00,2020-02-29 19:00:00,3788943.0,5629254.0,2751982.5,2035392.5,207920.0,180412.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183749,R277,00-00-00,2020-02-29 23:00:00,3789038.0,5629401.0,2959902.0,2215805.0,207920.0,180412.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183750,R277,00-00-00,2020-02-29 23:00:00,3789038.0,5629401.0,2959902.0,2215805.0,0.0,0.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183751,R277,00-00-00,2020-02-29 23:00:00,3789038.0,5629401.0,3668387.25,2797985.5,708485.0,582180.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183752,R277,00-00-00,2020-02-29 23:00:00,3789038.0,5629401.0,4376872.5,3380166.0,708485.0,582180.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183753,R277,00-00-00,2020-02-29 23:00:00,3789038.0,5629401.0,5085357.75,3962346.5,708485.0,582180.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183754,R277,00-00-00,2020-03-01 03:00:00,3789061.0,5629500.0,5793843.0,4544527.0,708485.0,582180.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183755,R277,00-00-00,2020-03-01 03:00:00,3789061.0,5629500.0,5793843.0,4544527.0,0.0,0.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183756,R277,00-00-00,2020-03-01 03:00:00,3789061.0,5629500.0,5812618.25,4563784.25,18775.0,19257.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183757,R277,00-00-00,2020-03-01 03:00:00,3789061.0,5629500.0,5831393.5,4583041.5,18775.0,19257.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183758,R277,00-00-00,2020-03-01 03:00:00,3789061.0,5629500.0,5850168.75,4602298.75,18775.0,19257.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183759,R277,00-00-00,2020-03-01 07:00:00,3789071.0,5629520.0,5868944.0,4621556.0,18775.0,19257.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183760,R277,00-00-00,2020-03-01 07:00:00,3789071.0,5629520.0,5868944.0,4621556.0,0.0,0.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183761,R277,00-00-00,2020-03-01 07:00:00,3789071.0,5629520.0,6533936.75,5329409.75,664993.0,707854.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183762,R277,00-00-00,2020-03-01 07:00:00,3789071.0,5629520.0,7198929.5,6037263.5,664993.0,707854.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183763,R277,00-00-00,2020-03-01 07:00:00,3789071.0,5629520.0,7863922.25,6745117.25,664993.0,707854.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183764,R277,00-00-00,2020-03-01 11:00:00,3789135.0,5629589.0,8528915.0,7452971.0,664993.0,707854.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183765,R277,00-00-00,2020-03-01 11:00:00,3789135.0,5629589.0,8528915.0,7452971.0,0.0,0.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183766,R277,00-00-00,2020-03-01 11:00:00,3789135.0,5629589.0,8665248.5,7564761.25,136334.0,111790.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183767,R277,00-00-00,2020-03-01 11:00:00,3789135.0,5629589.0,8801582.0,7676551.5,136334.0,111790.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183768,R277,00-00-00,2020-03-01 11:00:00,3789135.0,5629589.0,8937915.5,7788341.75,136334.0,111790.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183769,R277,00-00-00,2020-03-01 15:00:00,3789245.0,5629743.0,9074249.0,7900132.0,136334.0,111790.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183770,R277,00-00-00,2020-03-01 15:00:00,3789245.0,5629743.0,9074249.0,7900132.0,0.0,0.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183771,R277,00-00-00,2020-03-01 15:00:00,3789245.0,5629743.0,9273650.5,8075519.5,199402.0,175388.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183772,R277,00-00-00,2020-03-01 15:00:00,3789245.0,5629743.0,9473052.0,8250907.0,199402.0,175388.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183773,R277,00-00-00,2020-03-01 15:00:00,3789245.0,5629743.0,9672453.5,8426294.5,199402.0,175388.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183774,R277,00-00-00,2020-03-01 19:00:00,3789338.0,5629956.0,9871855.0,8601682.0,199402.0,175388.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183775,R277,00-00-00,2020-03-01 19:00:00,3789338.0,5629956.0,9871855.0,8601682.0,0.0,0.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183776,R277,00-00-00,2020-03-01 19:00:00,3789338.0,5629956.0,10111821.0,8718112.75,239966.0,116431.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183777,R277,00-00-00,2020-03-01 19:00:00,3789338.0,5629956.0,10351787.0,8834543.5,239966.0,116431.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
3183778,R277,00-00-00,2020-03-01 19:00:00,3789338.0,5629956.0,10591753.0,8950974.25,239966.0,116431.0,President St-Medgar Evers College,ES304,Center Island Platform to Mezzanine,BKN,2/5,ES,N,Y,2-5,R277
