,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2996765,R196,00-00-00,2020-02-29 03:00:00,1569111207.0,786160047.0,0.0,0.0,,,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996766,R196,00-00-00,2020-02-29 03:00:00,1569111207.0,786160047.0,0.0,0.0,,,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996767,R196,00-00-00,2020-02-29 03:00:00,1569111207.0,786160047.0,0.0,0.0,0.0,0.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996768,R196,00-00-00,2020-02-29 03:00:00,1569111207.0,786160047.0,0.0,0.0,0.0,0.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996769,R196,00-00-00,2020-02-29 03:00:00,1569111207.0,786160047.0,18970.5,18521.5,18970.0,18522.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996770,R196,00-00-00,2020-02-29 03:00:00,1569111207.0,786160047.0,18970.5,18521.5,18970.0,18522.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996771,R196,00-00-00,2020-02-29 03:00:00,1569111207.0,786160047.0,37941.0,37043.0,18970.0,18522.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996772,R196,00-00-00,2020-02-29 03:00:00,1569111207.0,786160047.0,37941.0,37043.0,18970.0,18522.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996773,R196,00-00-00,2020-02-29 03:00:00,1569111207.0,786160047.0,56911.5,55564.5,18970.0,18522.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996774,R196,00-00-00,2020-02-29 03:00:00,1569111207.0,786160047.0,56911.5,55564.5,18970.0,18522.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996775,R196,00-00-00,2020-02-29 07:00:00,1569111226.0,786159978.0,75882.0,74086.0,18970.0,18522.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996776,R196,00-00-00,2020-02-29 07:00:00,1569111226.0,786159978.0,75882.0,74086.0,18970.0,18522.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996777,R196,00-00-00,2020-02-29 07:00:00,1569111226.0,786159978.0,75882.0,74086.0,0.0,0.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996778,R196,00-00-00,2020-02-29 07:00:00,1569111226.0,786159978.0,75882.0,74086.0,0.0,0.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996779,R196,00-00-00,2020-02-29 07:00:00,1569111226.0,786159978.0,115079.5,121625.25,39198.0,47539.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996780,R196,00-00-00,2020-02-29 07:00:00,1569111226.0,786159978.0,115079.5,121625.25,39198.0,47539.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996781,R196,00-00-00,2020-02-29 07:00:00,1569111226.0,786159978.0,154277.0,169164.5,39198.0,47539.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996782,R196,00-00-00,2020-02-29 07:00:00,1569111226.0,786159978.0,154277.0,169164.5,39198.0,47539.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996783,R196,00-00-00,2020-02-29 07:00:00,1569111226.0,786159978.0,193474.5,216703.75,39198.0,47539.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996784,R196,00-00-00,2020-02-29 07:00:00,1569111226.0,786159978.0,193474.5,216703.75,39198.0,47539.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996785,R196,00-00-00,2020-02-29 11:00:00,1569111311.0,786159727.0,232672.0,264243.0,39198.0,47539.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996786,R196,00-00-00,2020-02-29 11:00:00,1569111311.0,786159727.0,232672.0,264243.0,39198.0,47539.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996787,R196,00-00-00,2020-02-29 11:00:00,1569111311.0,786159727.0,232672.0,264243.0,0.0,0.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996788,R196,00-00-00,2020-02-29 11:00:00,1569111311.0,786159727.0,232672.0,264243.0,0.0,0.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996789,R196,00-00-00,2020-02-29 11:00:00,1569111311.0,786159727.0,551354.25,444233.5,318682.0,179990.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996790,R196,00-00-00,2020-02-29 11:00:00,1569111311.0,786159727.0,551354.25,444233.5,318682.0,179990.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996791,R196,00-00-00,2020-02-29 11:00:00,1569111311.0,786159727.0,870036.5,624224.0,318682.0,179990.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996792,R196,00-00-00,2020-02-29 11:00:00,1569111311.0,786159727.0,870036.5,624224.0,318682.0,179990.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996793,R196,00-00-00,2020-02-29 11:00:00,1569111311.0,786159727.0,1188718.75,804214.5,318682.0,179990.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996794,R196,00-00-00,2020-02-29 11:00:00,1569111311.0,786159727.0,1188718.75,804214.5,318682.0,179990.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996795,R196,00-00-00,2020-02-29 15:00:00,1569111420.0,786159426.0,1507401.0,984205.0,318682.0,179990.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996796,R196,00-00-00,2020-02-29 15:00:00,1569111420.0,786159426.0,1507401.0,984205.0,318682.0,179990.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996797,R196,00-00-00,2020-02-29 15:00:00,1569111420.0,786159426.0,1507401.0,984205.0,0.0,0.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996798,R196,00-00-00,2020-02-29 15:00:00,1569111420.0,786159426.0,1507401.0,984205.0,0.0,0.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996799,R196,00-00-00,2020-02-29 15:00:00,1569111420.0,786159426.0,1734869.0,1172903.5,227468.0,188698.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996800,R196,00-00-00,2020-02-29 15:00:00,1569111420.0,786159426.0,1734869.0,1172903.5,227468.0,188698.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996801,R196,00-00-00,2020-02-29 15:00:00,1569111420.0,786159426.0,1962337.0,1361602.0,227468.0,188698.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996802,R196,00-00-00,2020-02-29 15:00:00,1569111420.0,786159426.0,1962337.0,1361602.0,227468.0,188698.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996803,R196,00-00-00,2020-02-29 15:00:00,1569111420.0,786159426.0,2189805.0,1550300.5,227468.0,188698.0,Prospect Park,EL383,"Lincoln Rd & Ocean Ave (NE corner) to Coney Island, Brighton Beach bound B/Q Platform",BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
2996804,R196,00-00-00,2020-02-29 15:00:00,1569111420.0,786159426.0,2189805.0,1550300.5,227468.0,188698.0,Prospect Park,EL382,Lincoln Rd & Ocean Ave (NE corner) to Manhattan bound B/Q Platform and Franklin Shuttle,BKN,B/Q/S,EL,Y,Y,B-Q-S,R196
