,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2643338,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,0.0,0.0,,,Queens Plaza,EL430,"Mezzanine to Jamaica, Forest Hills bound Platform",QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643339,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,0.0,0.0,,,Queens Plaza,EL429,Mezzanine to Manhattan bound Platform,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643340,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,0.0,0.0,,,Queens Plaza,EL428,Queens Plaza & Jackson Ave to Mezzanine  for service in both directions,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643341,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,0.0,0.0,0.0,0.0,Queens Plaza,EL430,"Mezzanine to Jamaica, Forest Hills bound Platform",QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643342,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,0.0,0.0,0.0,0.0,Queens Plaza,EL429,Mezzanine to Manhattan bound Platform,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643343,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,0.0,0.0,0.0,0.0,Queens Plaza,EL428,Queens Plaza & Jackson Ave to Mezzanine  for service in both directions,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643344,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,6925.5,9064.5,6926.0,9064.0,Queens Plaza,EL430,"Mezzanine to Jamaica, Forest Hills bound Platform",QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643345,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,6925.5,9064.5,6926.0,9064.0,Queens Plaza,EL429,Mezzanine to Manhattan bound Platform,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643346,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,6925.5,9064.5,6926.0,9064.0,Queens Plaza,EL428,Queens Plaza & Jackson Ave to Mezzanine  for service in both directions,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643347,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,13851.0,18129.0,6926.0,9064.0,Queens Plaza,EL430,"Mezzanine to Jamaica, Forest Hills bound Platform",QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643348,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,13851.0,18129.0,6926.0,9064.0,Queens Plaza,EL429,Mezzanine to Manhattan bound Platform,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643349,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,13851.0,18129.0,6926.0,9064.0,Queens Plaza,EL428,Queens Plaza & Jackson Ave to Mezzanine  for service in both directions,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643350,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,20776.5,27193.5,6926.0,9064.0,Queens Plaza,EL430,"Mezzanine to Jamaica, Forest Hills bound Platform",QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643351,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,20776.5,27193.5,6926.0,9064.0,Queens Plaza,EL429,Mezzanine to Manhattan bound Platform,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643352,R140,00-00-00,2020-02-29 00:00:00,6048582.0,5607774.0,20776.5,27193.5,6926.0,9064.0,Queens Plaza,EL428,Queens Plaza & Jackson Ave to Mezzanine  for service in both directions,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643353,R140,00-00-00,2020-02-29 04:00:00,6048583.0,5607779.0,27702.0,36258.0,6926.0,9064.0,Queens Plaza,EL430,"Mezzanine to Jamaica, Forest Hills bound Platform",QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643354,R140,00-00-00,2020-02-29 04:00:00,6048583.0,5607779.0,27702.0,36258.0,6926.0,9064.0,Queens Plaza,EL429,Mezzanine to Manhattan bound Platform,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643355,R140,00-00-00,2020-02-29 04:00:00,6048583.0,5607779.0,27702.0,36258.0,6926.0,9064.0,Queens Plaza,EL428,Queens Plaza & Jackson Ave to Mezzanine  for service in both directions,QNS,E/R/M,EL,Y,Y,E-R-M,R140
2643356,R140,00-00-00,2020-02-29 04:00:00,6048583.0,5607779.0,27702.0,36258.0,0.0,0.0,Queens Plaza,EL430,"Mezzanine to Jamaica, Forest Hills bound Platform",QNS,E/R/M,EL,Y,Y,E-R-M,R140
