,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3129291,R259,00-00-00,2020-02-29 03:00:00,1230860.0,2764514.0,0.0,0.0,,,Roosevelt Island,ES413,Center Mezzanine to Street,MN,F,ES,N,Y,F,R259
3129292,R259,00-00-00,2020-02-29 03:00:00,1230860.0,2764514.0,0.0,0.0,,,Roosevelt Island,ES412,Center Mezzanine to Street,MN,F,ES,N,Y,F,R259
3129293,R259,00-00-00,2020-02-29 03:00:00,1230860.0,2764514.0,0.0,0.0,,,Roosevelt Island,ES411,Center Mezzanine to Street,MN,F,ES,N,Y,F,R259
3129294,R259,00-00-00,2020-02-29 03:00:00,1230860.0,2764514.0,0.0,0.0,,,Roosevelt Island,ES415,Lower Mezzanine to Center Mezzanine,MN,F,ES,N,Y,F,R259
3129295,R259,00-00-00,2020-02-29 03:00:00,1230860.0,2764514.0,0.0,0.0,,,Roosevelt Island,ES414,Lower Mezzanine to Center Mezzanine,MN,F,ES,N,Y,F,R259
3129296,R259,00-00-00,2020-02-29 03:00:00,1230860.0,2764514.0,0.0,0.0,,,Roosevelt Island,ES416,Lower Mezzanine to Center Mezzanine,MN,F,ES,N,Y,F,R259
3129297,R259,00-00-00,2020-02-29 03:00:00,1230860.0,2764514.0,0.0,0.0,,,Roosevelt Island,ES417,Northbound Platform to Lower Mezzanine,MN,F,ES,N,Y,F,R259
3129298,R259,00-00-00,2020-02-29 03:00:00,1230860.0,2764514.0,0.0,0.0,,,Roosevelt Island,ES419,Northbound Platform to Lower Mezzanine,MN,F,ES,N,Y,F,R259
3129299,R259,00-00-00,2020-02-29 03:00:00,1230860.0,2764514.0,0.0,0.0,,,Roosevelt Island,ES420,Southbound Platform to Lower Mezzanine,MN,F,ES,N,Y,F,R259
3129300,R259,00-00-00,2020-02-29 03:00:00,1230860.0,2764514.0,0.0,0.0,,,Roosevelt Island,ES418,Southbound Platform to Lower Mezzanine,MN,F,ES,N,Y,F,R259
3129301,R259,00-00-00,2020-02-29 03:00:00,1230860.0,2764514.0,0.0,0.0,,,Roosevelt Island,EL404,Street-level entrance inside entrance on West Rd and Jamaica bound Platform,MN,F,EL,Y,Y,F,R259
