,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3165094,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,,,Smith - 9 Sts,ES315,Lower Mezzanine to Upper Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165095,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,,,Smith - 9 Sts,ES349,Lower Mezzanine to Upper Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165096,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,,,Smith - 9 Sts,ES316,Lower Mezzanine to Upper Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165097,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,,,Smith - 9 Sts,ES348,Street to Lower Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165098,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,,,Smith - 9 Sts,ES314,Street to Lower Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165099,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,,,Smith - 9 Sts,ES313,Street to Lower Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165100,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,0.0,0.0,Smith - 9 Sts,ES315,Lower Mezzanine to Upper Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165101,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,0.0,0.0,Smith - 9 Sts,ES349,Lower Mezzanine to Upper Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165102,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,0.0,0.0,Smith - 9 Sts,ES316,Lower Mezzanine to Upper Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165103,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,0.0,0.0,Smith - 9 Sts,ES348,Street to Lower Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165104,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,0.0,0.0,Smith - 9 Sts,ES314,Street to Lower Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165105,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,0.0,0.0,0.0,0.0,Smith - 9 Sts,ES313,Street to Lower Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
3165106,R270,00-00-00,2020-02-29 03:00:00,280709.0,229228.0,24858.5,22592.5,24858.0,22592.0,Smith - 9 Sts,ES315,Lower Mezzanine to Upper Mezzanine,BKN,F/G,ES,N,Y,F-G,R270
