,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
2720724,R153,00-00-00,2020-02-29 00:00:00,6419421.0,6178059.0,0.0,0.0,,,Utica Av,EL346,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R153
2720725,R153,00-00-00,2020-02-29 00:00:00,6419421.0,6178059.0,0.0,0.0,,,Utica Av,EL345,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R153
2720726,R153,00-00-00,2020-02-29 00:00:00,6419421.0,6178059.0,0.0,0.0,,,Utica Av,EL344,Utica Ave & Fulton St (NW corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R153
2720727,R153,00-00-00,2020-02-29 00:00:00,6419421.0,6178059.0,0.0,0.0,0.0,0.0,Utica Av,EL346,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R153
2720728,R153,00-00-00,2020-02-29 00:00:00,6419421.0,6178059.0,0.0,0.0,0.0,0.0,Utica Av,EL345,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R153
2720729,R153,00-00-00,2020-02-29 00:00:00,6419421.0,6178059.0,0.0,0.0,0.0,0.0,Utica Av,EL344,Utica Ave & Fulton St (NW corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R153
2720730,R153,00-00-00,2020-02-29 00:00:00,6419421.0,6178059.0,2842.25,3678.25,2842.0,3678.0,Utica Av,EL346,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R153
2720731,R153,00-00-00,2020-02-29 00:00:00,6419421.0,6178059.0,2842.25,3678.25,2842.0,3678.0,Utica Av,EL345,Mezzanine to uptown Platform,BKN,A/C,EL,Y,Y,A-C,R153
2720732,R153,00-00-00,2020-02-29 00:00:00,6419421.0,6178059.0,2842.25,3678.25,2842.0,3678.0,Utica Av,EL344,Utica Ave & Fulton St (NW corner) to Mezzanine for service in both directions,BKN,A/C,EL,Y,Y,A-C,R153
2720733,R153,00-00-00,2020-02-29 00:00:00,6419421.0,6178059.0,5684.5,7356.5,2842.0,3678.0,Utica Av,EL346,Mezzanine to downtown Platform,BKN,A/C,EL,Y,Y,A-C,R153
