,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
936179,R027,00-00-00,2020-02-29 03:00:00,2383475.0,2652134.0,0.0,0.0,,,Wall St,ES379X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936180,R027,00-00-00,2020-02-29 03:00:00,2383475.0,2652134.0,0.0,0.0,,,Wall St,ES378X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936181,R027,00-00-00,2020-02-29 03:00:00,2383475.0,2652134.0,0.0,0.0,0.0,0.0,Wall St,ES379X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936182,R027,00-00-00,2020-02-29 03:00:00,2383475.0,2652134.0,0.0,0.0,0.0,0.0,Wall St,ES378X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936183,R027,00-00-00,2020-02-29 03:00:00,2383475.0,2652134.0,15544.0,16065.5,15544.0,16066.0,Wall St,ES379X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936184,R027,00-00-00,2020-02-29 03:00:00,2383475.0,2652134.0,15544.0,16065.5,15544.0,16066.0,Wall St,ES378X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936185,R027,00-00-00,2020-02-29 03:00:00,2383475.0,2652134.0,31088.0,32131.0,15544.0,16066.0,Wall St,ES379X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936186,R027,00-00-00,2020-02-29 03:00:00,2383475.0,2652134.0,31088.0,32131.0,15544.0,16066.0,Wall St,ES378X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936187,R027,00-00-00,2020-02-29 03:00:00,2383475.0,2652134.0,46632.0,48196.5,15544.0,16066.0,Wall St,ES379X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936188,R027,00-00-00,2020-02-29 03:00:00,2383475.0,2652134.0,46632.0,48196.5,15544.0,16066.0,Wall St,ES378X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936189,R027,00-00-00,2020-02-29 07:00:00,2383490.0,2652180.0,62176.0,64262.0,15544.0,16066.0,Wall St,ES379X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936190,R027,00-00-00,2020-02-29 07:00:00,2383490.0,2652180.0,62176.0,64262.0,15544.0,16066.0,Wall St,ES378X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936191,R027,00-00-00,2020-02-29 07:00:00,2383490.0,2652180.0,62176.0,64262.0,0.0,0.0,Wall St,ES379X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936192,R027,00-00-00,2020-02-29 07:00:00,2383490.0,2652180.0,62176.0,64262.0,0.0,0.0,Wall St,ES378X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
936193,R027,00-00-00,2020-02-29 07:00:00,2383490.0,2652180.0,150926.25,153540.5,88750.0,89278.0,Wall St,ES379X,60 Wall St atrium to Mezzanine 2/3 train passageway,MN,2/3,ES,N,Y,2-3,R027
