,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3334380,R312,00-00-00,2020-02-29 03:00:00,4390299.0,9515151.0,0.0,0.0,,,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334381,R312,00-00-00,2020-02-29 03:00:00,4390299.0,9515151.0,0.0,0.0,0.0,0.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334382,R312,00-00-00,2020-02-29 03:00:00,4390299.0,9515151.0,26409.5,24420.75,26410.0,24421.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334383,R312,00-00-00,2020-02-29 03:00:00,4390299.0,9515151.0,52819.0,48841.5,26410.0,24421.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334384,R312,00-00-00,2020-02-29 03:00:00,4390299.0,9515151.0,79228.5,73262.25,26410.0,24421.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334385,R312,00-00-00,2020-02-29 07:00:00,4390300.0,9515158.0,105638.0,97683.0,26410.0,24421.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334386,R312,00-00-00,2020-02-29 07:00:00,4390300.0,9515158.0,105638.0,97683.0,0.0,0.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334387,R312,00-00-00,2020-02-29 07:00:00,4390300.0,9515158.0,203309.0,193747.75,97671.0,96065.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334388,R312,00-00-00,2020-02-29 07:00:00,4390300.0,9515158.0,300980.0,289812.5,97671.0,96065.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334389,R312,00-00-00,2020-02-29 07:00:00,4390300.0,9515158.0,398651.0,385877.25,97671.0,96065.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334390,R312,00-00-00,2020-02-29 11:00:00,4390309.0,9515235.0,496322.0,481942.0,97671.0,96065.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334391,R312,00-00-00,2020-02-29 11:00:00,4390309.0,9515235.0,496322.0,481942.0,0.0,0.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334392,R312,00-00-00,2020-02-29 11:00:00,4390309.0,9515235.0,707128.25,573754.5,210806.0,91812.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334393,R312,00-00-00,2020-02-29 11:00:00,4390309.0,9515235.0,917934.5,665567.0,210806.0,91812.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334394,R312,00-00-00,2020-02-29 11:00:00,4390309.0,9515235.0,1128740.75,757379.5,210806.0,91812.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334395,R312,00-00-00,2020-02-29 15:00:00,4390331.0,9515339.0,1339547.0,849192.0,210806.0,91812.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334396,R312,00-00-00,2020-02-29 15:00:00,4390331.0,9515339.0,1339547.0,849192.0,0.0,0.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334397,R312,00-00-00,2020-02-29 15:00:00,4390331.0,9515339.0,1604254.5,1068265.5,264708.0,219074.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334398,R312,00-00-00,2020-02-29 15:00:00,4390331.0,9515339.0,1868962.0,1287339.0,264708.0,219074.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334399,R312,00-00-00,2020-02-29 15:00:00,4390331.0,9515339.0,2133669.5,1506412.5,264708.0,219074.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334400,R312,00-00-00,2020-02-29 19:00:00,4390347.0,9515408.0,2398377.0,1725486.0,264708.0,219074.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334401,R312,00-00-00,2020-02-29 19:00:00,4390347.0,9515408.0,2398377.0,1725486.0,0.0,0.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334402,R312,00-00-00,2020-02-29 19:00:00,4390347.0,9515408.0,2518036.5,1831645.0,119660.0,106159.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334403,R312,00-00-00,2020-02-29 19:00:00,4390347.0,9515408.0,2637696.0,1937804.0,119660.0,106159.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
3334404,R312,00-00-00,2020-02-29 19:00:00,4390347.0,9515408.0,2757355.5,2043963.0,119660.0,106159.0,West 8 St - NY Aquarium,ES335,Mezzanine to Northbound Platform,BKN,F/Q,ES,N,Y,F-Q,R312
