,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
3579597,R387,00-00-00,2020-02-29 00:00:00,1163014.0,624241.0,0.0,0.0,,,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579598,R387,00-00-00,2020-02-29 00:00:00,1163014.0,624241.0,0.0,0.0,0.0,0.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579599,R387,00-00-00,2020-02-29 00:00:00,1163014.0,624241.0,8304.25,10560.25,8304.0,10560.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579600,R387,00-00-00,2020-02-29 00:00:00,1163014.0,624241.0,16608.5,21120.5,8304.0,10560.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579601,R387,00-00-00,2020-02-29 00:00:00,1163014.0,624241.0,24912.75,31680.75,8304.0,10560.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579602,R387,00-00-00,2020-02-29 04:00:00,1163033.0,624265.0,33217.0,42241.0,8304.0,10560.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579603,R387,00-00-00,2020-02-29 04:00:00,1163033.0,624265.0,33217.0,42241.0,0.0,0.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579604,R387,00-00-00,2020-02-29 04:00:00,1163033.0,624265.0,52920.0,57532.25,19703.0,15291.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579605,R387,00-00-00,2020-02-29 04:00:00,1163033.0,624265.0,72623.0,72823.5,19703.0,15291.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579606,R387,00-00-00,2020-02-29 04:00:00,1163033.0,624265.0,92326.0,88114.75,19703.0,15291.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579607,R387,00-00-00,2020-02-29 08:00:00,1163110.0,624306.0,112029.0,103406.0,19703.0,15291.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579608,R387,00-00-00,2020-02-29 08:00:00,1163110.0,624306.0,112029.0,103406.0,0.0,0.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579609,R387,00-00-00,2020-02-29 08:00:00,1163110.0,624306.0,218013.25,206962.5,105984.0,103556.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579610,R387,00-00-00,2020-02-29 08:00:00,1163110.0,624306.0,323997.5,310519.0,105984.0,103556.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579611,R387,00-00-00,2020-02-29 08:00:00,1163110.0,624306.0,429981.75,414075.5,105984.0,103556.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579612,R387,00-00-00,2020-02-29 12:00:00,1163303.0,624370.0,535966.0,517632.0,105984.0,103556.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579613,R387,00-00-00,2020-02-29 12:00:00,1163303.0,624370.0,535966.0,517632.0,0.0,0.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579614,R387,00-00-00,2020-02-29 12:00:00,1163303.0,624370.0,877793.75,712467.0,341828.0,194835.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579615,R387,00-00-00,2020-02-29 12:00:00,1163303.0,624370.0,1219621.5,907302.0,341828.0,194835.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579616,R387,00-00-00,2020-02-29 12:00:00,1163303.0,624370.0,1561449.25,1102137.0,341828.0,194835.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579617,R387,00-00-00,2020-02-29 16:00:00,1163526.0,624479.0,1903277.0,1296972.0,341828.0,194835.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579618,R387,00-00-00,2020-02-29 16:00:00,1163526.0,624479.0,1903277.0,1296972.0,0.0,0.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579619,R387,00-00-00,2020-02-29 16:00:00,1163526.0,624479.0,2125931.25,1489278.75,222654.0,192307.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579620,R387,00-00-00,2020-02-29 16:00:00,1163526.0,624479.0,2348585.5,1681585.5,222654.0,192307.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579621,R387,00-00-00,2020-02-29 16:00:00,1163526.0,624479.0,2571239.75,1873892.25,222654.0,192307.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579622,R387,00-00-00,2020-02-29 20:00:00,1163688.0,624591.0,2793894.0,2066199.0,222654.0,192307.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579623,R387,00-00-00,2020-02-29 20:00:00,1163688.0,624591.0,2793894.0,2066199.0,0.0,0.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579624,R387,00-00-00,2020-02-29 20:00:00,1163688.0,624591.0,3028850.25,2254846.25,234956.0,188647.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579625,R387,00-00-00,2020-02-29 20:00:00,1163688.0,624591.0,3263806.5,2443493.5,234956.0,188647.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579626,R387,00-00-00,2020-02-29 20:00:00,1163688.0,624591.0,3498762.75,2632140.75,234956.0,188647.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579627,R387,00-00-00,2020-03-01 00:00:00,1163755.0,624658.0,3733719.0,2820788.0,234956.0,188647.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579628,R387,00-00-00,2020-03-01 00:00:00,1163755.0,624658.0,3733719.0,2820788.0,0.0,0.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579629,R387,00-00-00,2020-03-01 00:00:00,1163755.0,624658.0,4255555.0,3259343.5,521836.0,438556.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579630,R387,00-00-00,2020-03-01 00:00:00,1163755.0,624658.0,4777391.0,3697899.0,521836.0,438556.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579631,R387,00-00-00,2020-03-01 00:00:00,1163755.0,624658.0,5299227.0,4136454.5,521836.0,438556.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579632,R387,00-00-00,2020-03-01 04:00:00,1163774.0,624680.0,5821063.0,4575010.0,521836.0,438556.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579633,R387,00-00-00,2020-03-01 04:00:00,1163774.0,624680.0,5821063.0,4575010.0,0.0,0.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579634,R387,00-00-00,2020-03-01 04:00:00,1163774.0,624680.0,5851811.75,4600072.5,30749.0,25062.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579635,R387,00-00-00,2020-03-01 04:00:00,1163774.0,624680.0,5882560.5,4625135.0,30749.0,25062.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579636,R387,00-00-00,2020-03-01 04:00:00,1163774.0,624680.0,5913309.25,4650197.5,30749.0,25062.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
3579637,R387,00-00-00,2020-03-01 08:00:00,1163822.0,624709.0,5944058.0,4675260.0,30749.0,25062.0,West Farms Sq - E Tremont Av,ES106,Street to Mezzanine,BX,2/5,ES,N,Y,2-5,R387
