,UNIT,SCP,datetime,ENTRIES,EXITS,cleaned_entries,cleaned_exits,entries_diff,exists_diff,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
9,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,0.0,0.0,,,Whitehall St - South Ferry,ES351,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
10,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,0.0,0.0,,,Whitehall St - South Ferry,ES312,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
11,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,0.0,0.0,,,Whitehall St - South Ferry,ES311,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
21,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,0.0,0.0,0.0,0.0,Whitehall St - South Ferry,ES351,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
22,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,0.0,0.0,0.0,0.0,Whitehall St - South Ferry,ES312,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
23,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,0.0,0.0,0.0,0.0,Whitehall St - South Ferry,ES311,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
33,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,4328.25,5802.75,4328.0,5803.0,Whitehall St - South Ferry,ES351,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
34,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,4328.25,5802.75,4328.0,5803.0,Whitehall St - South Ferry,ES312,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
35,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,4328.25,5802.75,4328.0,5803.0,Whitehall St - South Ferry,ES311,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
45,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,8656.5,11605.5,4328.0,5803.0,Whitehall St - South Ferry,ES351,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
46,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,8656.5,11605.5,4328.0,5803.0,Whitehall St - South Ferry,ES312,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
47,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,8656.5,11605.5,4328.0,5803.0,Whitehall St - South Ferry,ES311,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
57,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,12984.75,17408.25,4328.0,5803.0,Whitehall St - South Ferry,ES351,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
58,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,12984.75,17408.25,4328.0,5803.0,Whitehall St - South Ferry,ES312,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
59,R001,00-00-00,2020-02-29 00:00:00,5005612.0,2904420.0,12984.75,17408.25,4328.0,5803.0,Whitehall St - South Ferry,ES311,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
69,R001,00-00-00,2020-02-29 04:00:00,5005612.0,2904420.0,17313.0,23211.0,4328.0,5803.0,Whitehall St - South Ferry,ES351,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
70,R001,00-00-00,2020-02-29 04:00:00,5005612.0,2904420.0,17313.0,23211.0,4328.0,5803.0,Whitehall St - South Ferry,ES312,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
71,R001,00-00-00,2020-02-29 04:00:00,5005612.0,2904420.0,17313.0,23211.0,4328.0,5803.0,Whitehall St - South Ferry,ES311,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
81,R001,00-00-00,2020-02-29 04:00:00,5005612.0,2904420.0,17313.0,23211.0,0.0,0.0,Whitehall St - South Ferry,ES351,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
82,R001,00-00-00,2020-02-29 04:00:00,5005612.0,2904420.0,17313.0,23211.0,0.0,0.0,Whitehall St - South Ferry,ES312,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
83,R001,00-00-00,2020-02-29 04:00:00,5005612.0,2904420.0,17313.0,23211.0,0.0,0.0,Whitehall St - South Ferry,ES311,Lower Mezzanine to Upper Mezzanine,MN,R/W,ES,N,Y,R-W,R001
