station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,direction,subset_lines,connection_to_street
125 St,EL125,125 St & Lexington Ave (NE corner) to mezzanine for service in both directions,MN,4/5/6,EL,Y,Y,both directions,4/5/6,Y
125 St,EL142,125 St & St Nicholas Ave (SW corner) to mezzanine for service in both directions,MN,A/B/C/D,EL,Y,Y,both directions,A/B/C/D,Y
125 St,EL143,mezzanine to downtown platform,MN,A/B/C/D,EL,Y,Y,downtown,A/B/C/D,N
125 St,EL126,mezzanine to platforms for service in both directions,MN,4/5/6,EL,Y,Y,both directions,4/5/6,N
125 St,EL144,mezzanine to uptown platform ,MN,A/B/C/D,EL,Y,Y,uptown,A/B/C/D,N
125 St,ES102,It operates between street near SW corner of 125 St & Broadway and mezzanine,MN,1,ES,N,Y,,['1'],N
125 St,ES101,It operates between street near SW corner of 125 St & Broadway and mezzanine,MN,1,ES,N,Y,,['1'],N
125 St,ES103,It operates between street near SE corner of 125 St & Broadway and mezzanine,MN,1,ES,N,Y,,['1'],N
135 St,EL180,135 St & Lenox Ave (NE corner) to uptown and the Bronx-bound platform,MN,2/3,EL,Y,Y,uptown,2/3,Y
135 St,EL181,135 St & Lenox Ave (SW corner) to downtown platform,MN,2/3,EL,Y,Y,downtown,2/3,Y
14 St - 8 Av,EL221,8th Ave & 14 St (SW corner) to mezzanine for A/C/E/L service in both directions,MN,A/C/E/L,EL,Y,Y,both directions,['A/C/E/L'],N
14 St - 8 Av,EL222,mezzanine to downtown A/C/E platform,MN,A/C/E/L,EL,Y,Y,downtown,A/C/E/L,N
14 St - 8 Av,EL223,mezzanine to uptown A/C/E platform,MN,A/C/E/L,EL,Y,Y,uptown,A/C/E/L,N
14 St - Union Sq,EL217,4th Ave & 14 St (NE corner) to mezzanine for L/N/Q/R/W service in both directions ,MN,L/N/Q/R/W,EL,Y,Y,both directions,['L/N/Q/R/W'],N
14 St - Union Sq,EL220,mezzanine to downtown N/Q/R/W platform,MN,L/N/Q/R/W,EL,Y,Y,downtown,L/N/Q/R/W,N
14 St - Union Sq,EL218,mezzanine to L platform for service in both directions,MN,L/N/Q/R/W,EL,Y,Y,both directions,L/N/Q/R/W,N
14 St - Union Sq,EL219,mezzanine to uptown N/Q/R/W platform ,MN,L/N/Q/R/W,EL,Y,Y,uptown,L/N/Q/R/W,N
14 St - Union Sq,ES257X,It operates between mezzanine above all lines and street at NE corner of 4th Ave & 14 St,MN,L/N/Q/R/W,ES,N,Y,,L/N/Q/R/W,N
14 St - Union Sq,ES258X,It operates between mezzanine above all lines and street at NE corner of 4th Ave & 14 St,MN,L/N/Q/R/W,ES,N,Y,,L/N/Q/R/W,N
14 St - Union Sq,ES256X, ,MN,4/5/6,ES,N,N,,4/5/6,N
145 St,ES116,It operates between platform and mezzanine below 145 St & Broadway,MN,A/B/C/D,ES,N,Y,,A/B/C/D,N
145 St,ES115,It operates between platform and mezzanine below 147 St & Broadway,MN,A/B/C/D,ES,N,Y,,A/B/C/D,N
149 St - 3 Av,EL129,3rd Ave & 149 St (SW corner) to Bronx-bound platform,BX,2/5,EL,Y,Y,,2/5,N
149 St - 3 Av,EL130,Melrose Ave & 149 St (NW corner) to Manhattan-bound platform,BX,2/5,EL,Y,Y,,2/5,N
161 St - Yankee Stadium,ES114,It operates between lower mezzanine above B/D and upper mezzanine below 4 Line,BX,4/B/D,ES,N,Y,,4/B/D,N
161 St - Yankee Stadium,ES113,It operates between lower mezzanine above B/D and upper mezzanine below 4 Line,BX,4/B/D,ES,N,Y,,4/B/D,N
161 St - Yankee Stadium,EL134,mezzanine to Manhattan-bound B/D platform,BX,4/B/D,EL,Y,Y,,4/B/D,N
161 St - Yankee Stadium,EL133,mezzanine to Manhattan-bound 4 platform,BX,4/B/D,EL,Y,Y,,4/B/D,N
161 St - Yankee Stadium,EL135,mezzanine to B/D platform for Bedford Pk Blvd and Norwood 205 St-bound service,BX,4/B/D,EL,Y,Y,,4/B/D,N
161 St - Yankee Stadium,EL132,B/D mezzanine to Woodlawn-bound 4 platform and mezzanine for Manhattan-bound 4 service ,BX,4/B/D,EL,Y,Y,,4/B/D,N
161 St - Yankee Stadium,EL131,161 St & River Ave (NE corner) to mezzanine to reach 4/B/D service in both directions,BX,4/B/D,EL,Y,Y,both directions,['4/B/D'],N
168 St,EL139,168 St & St Nicholas Ave (SE corner) to mezzanine for A/C service in both directions and access to non-ADA 1 line elevators,MN,A/C,EL,Y,Y,both directions,['A/C'],Y
168 St,EL112,transfer mezzanine to overpass for 1 train service in both directions,MN,1,EL,N,Y,both directions,['1'],N
168 St,EL111,transfer mezzanine to overpass for 1 train service in both directions,MN,1,EL,N,Y,both directions,['1'],N
168 St,EL113,transfer mezzanine to overpass for 1 train service in both directions,MN,1,EL,N,Y,both directions,['1'],N
168 St,EL114,transfer mezzanine to overpass for 1 train service in both directions,MN,1,EL,N,Y,both directions,['1'],N
168 St,EL141,mezzanine to downtown A/C platform,MN,A/C,EL,Y,Y,downtown,['A/C'],N
168 St,EL140,mezzanine to platform for uptown A service and C terminal ,MN,A/C,EL,Y,Y,uptown,A/C,N
175 St,EL123,177 St & Fort Washington Ave (NE corner) to mezzanine for service in both directions,MN,A,EL,Y,Y,both directions,['A'],N
175 St,EL124,mezzanine to platform for service in both directions,MN,A,EL,Y,Y,both directions,A,N
179 St - Jamaica,EL431,179 Pl & Hillside Ave (SE corner) to mezzanine for Manhattan-bound service,QNS,F,EL,Y,Y,,F,N
179 St - Jamaica,EL433,mezzanine to terminal platform ,QNS,F,EL,Y,Y,,F,N
179 St - Jamaica,EL432,mezzanine to Manhattan-bound platform ,QNS,F,EL,Y,Y,,F,N
181 St,EL107,mezzanine to bridge for service in both directions,MN,1,EL,N,Y,both directions,1,N
181 St,EL109,mezzanine to bridge for service in both directions,MN,1,EL,N,Y,both directions,1,N
181 St,ES119,It operates between lower mezzanine and upper mezzanine,MN,A,ES,N,Y,,A,N
181 St,EL110,mezzanine to bridge for service in both directions,MN,1,EL,N,Y,both directions,1,N
181 St,EL108,mezzanine to bridge for service in both directions,MN,1,EL,N,Y,both directions,1,N
181 St,ES117,It operates between lower mezzanine and upper mezzanine,MN,A,ES,N,Y,,A,N
181 St,ES118,It operates between lower mezzanine and upper mezzanine,MN,A,ES,N,Y,,A,N
181 St,EL118,upper mezzanine (184 St & Ft Washington Av) to lower mezzanine for service in both directions,MN,A,EL,N,N,both directions,['A'],N
181 St,EL117,upper mezzanine (184 St & Ft Washington Av) to lower mezzanine for service in both directions,MN,A,EL,N,N,both directions,['A'],N
181 St,EL119,upper mezzanine (184 St & Ft Washington Av) to lower mezzanine for service in both directions,MN,A,EL,N,N,both directions,['A'],N
190 St,EL120,upper mezzanine (Fort Washington Av) to lower mezzanine for service in both directions and access to passageway to Bennet Ave & 190 St,MN,A,EL,N,Y,both directions,"['A', 'A']",N
190 St,EL115,upper mezzanine (Fort Washington Av) to lower mezzanine for service in both directions and access to passageway to Bennet Ave & 190 St,MN,A,EL,N,Y,both directions,"['A', 'A']",N
190 St,EL116,upper mezzanine (Fort Washington Av) to lower mezzanine for service in both directions and access to passageway to Bennet Ave & 190 St,MN,A,EL,N,Y,both directions,"['A', 'A']",N
191 St,EL106,191 St & St Nicholas Ave (SW corner) to mezzanine for service in both directions and access to passageway to Broadway & 191 St,MN,1,EL,N,N,both directions,"['1', '1', '1', '1']",Y
191 St,EL105,191 St & St Nicholas Ave (SW corner) to mezzanine for service in both directions and access to passageway to Broadway & 191 St,MN,1,EL,N,N,both directions,"['1', '1', '1', '1']",Y
191 St,EL104,191 St & St Nicholas Ave (SW corner) to mezzanine for service in both directions and access to passageway to Broadway & 191 St,MN,1,EL,N,N,both directions,"['1', '1', '1', '1']",Y
191 St,EL103,191 St & St Nicholas Ave (SW corner) to mezzanine for service in both directions and access to passageway to Broadway & 191 St,MN,1,EL,N,N,both directions,"['1', '1', '1', '1']",Y
205 St - Norwood,ES112,It operates between platform and mezzanine below Bainbridge Ave & 206 St,BX,D,ES,N,Y,,D,N
207 St - Inwood,EL148,207 St & Broadway (NW corner) to mezzanine for downtown service,MN,A,EL,Y,Y,downtown,A,N
207 St - Inwood,EL149,mezzanine to downtown platform,MN,A,EL,Y,Y,downtown,A,N
21 St - Queensbridge,EL405,21 St & 41 Ave (NE corner) to mezzanine for service in both directions,QNS,F,EL,Y,Y,both directions,F,N
21 St - Queensbridge,EL407,mezzanine to Jamaica-bound platform ,QNS,F,EL,Y,Y,,F,N
21 St - Queensbridge,EL406,mezzanine to Manhattan-bound platform,QNS,F,EL,Y,Y,,F,N
21 St - Queensbridge,ES421,It operates between mezzanine and street at NE corner of 21 St & 41 Ave,QNS,F,ES,N,Y,,F,N
